query,qid,docid,rel
Romantic comedies with mistaken identity.,2,2671,5
Romantic comedies with mistaken identity.,2,3097,5
Romantic comedies with mistaken identity.,2,6155,5
Romantic comedies with mistaken identity.,2,1307,2
Romantic comedies with mistaken identity.,2,1689,3
Romantic comedies with mistaken identity.,2,597,3
Romantic comedies with mistaken identity.,2,5943,5
Romantic comedies with mistaken identity.,2,5470,5
Romantic comedies with mistaken identity.,2,67907,2
Romantic comedies with mistaken identity.,2,708,5
Romantic comedies with mistaken identity.,2,36525,4
Romantic comedies with mistaken identity.,2,908,1
Romantic comedies with mistaken identity.,2,144025,5
Romantic comedies with mistaken identity.,2,2724,3
Romantic comedies with mistaken identity.,2,5380,4
Romantic comedies with mistaken identity.,2,83318,1
Romantic comedies with mistaken identity.,2,122867,4
Romantic comedies with mistaken identity.,2,112594,3
Romantic comedies with mistaken identity.,2,5620,5
Romantic comedies with mistaken identity.,2,34336,4
Romantic comedies with mistaken identity.,2,25974,5
Romantic comedies with mistaken identity.,2,187333,1
Romantic comedies with mistaken identity.,2,3270,3
Romantic comedies with mistaken identity.,2,25840,5
Romantic comedies with mistaken identity.,2,5046,2
Romantic comedies with mistaken identity.,2,77362,1
Romantic comedies with mistaken identity.,2,88069,1
Romantic comedies with mistaken identity.,2,88108,4
Romantic comedies with mistaken identity.,2,276155,2
Romantic comedies with mistaken identity.,2,153996,2
Romantic comedies with mistaken identity.,2,44665,2
Romantic comedies with mistaken identity.,2,2582,1
Romantic comedies with mistaken identity.,2,163288,4
Romantic comedies with mistaken identity.,2,135769,2
Romantic comedies with mistaken identity.,2,68226,1
Romantic comedies with mistaken identity.,2,275929,5
Romantic comedies with mistaken identity.,2,198561,1
Romantic comedies with mistaken identity.,2,104261,3
Romantic comedies with mistaken identity.,2,2369,4
Romantic comedies with mistaken identity.,2,7437,1
Romantic comedies with mistaken identity.,2,182801,1
Romantic comedies with mistaken identity.,2,5428,1
Romantic comedies with mistaken identity.,2,204492,1
Romantic comedies with mistaken identity.,2,8969,4
Romantic comedies with mistaken identity.,2,231853,4
Romantic comedies with mistaken identity.,2,266666,1
Romantic comedies with mistaken identity.,2,44861,2
Romantic comedies with mistaken identity.,2,189171,1
Romantic comedies with mistaken identity.,2,2891,3
Romantic comedies with mistaken identity.,2,179553,5
Romantic comedies with mistaken identity.,2,188193,2
Romantic comedies with mistaken identity.,2,6033,3
Romantic comedies with mistaken identity.,2,8623,5
Romantic comedies with mistaken identity.,2,76293,4
Romantic comedies with mistaken identity.,2,4069,5
Romantic comedies with mistaken identity.,2,2424,5
Romantic comedies with mistaken identity.,2,2581,4
Romantic comedies with mistaken identity.,2,6332,4
Animated films featuring anthropomorphic animals.,3,2139,5
Animated films featuring anthropomorphic animals.,3,3034,5
Animated films featuring anthropomorphic animals.,3,265550,5
Animated films featuring anthropomorphic animals.,3,3429,4
Animated films featuring anthropomorphic animals.,3,276251,5
Animated films featuring anthropomorphic animals.,3,287515,5
Animated films featuring anthropomorphic animals.,3,66915,4
Animated films featuring anthropomorphic animals.,3,1029,5
Animated films featuring anthropomorphic animals.,3,167036,5
Animated films featuring anthropomorphic animals.,3,33615,5
Animated films featuring anthropomorphic animals.,3,6889,5
Animated films featuring anthropomorphic animals.,3,5218,5
Animated films featuring anthropomorphic animals.,3,164200,4
Animated films featuring anthropomorphic animals.,3,83177,5
Animated films featuring anthropomorphic animals.,3,3615,3
Animated films featuring anthropomorphic animals.,3,5002,5
Animated films featuring anthropomorphic animals.,3,2085,5
Animated films featuring anthropomorphic animals.,3,2018,5
Animated films featuring anthropomorphic animals.,3,47264,4
Animated films featuring anthropomorphic animals.,3,220158,2
Animated films featuring anthropomorphic animals.,3,88267,5
Animated films featuring anthropomorphic animals.,3,188145,3
Animated films featuring anthropomorphic animals.,3,6377,5
Animated films featuring anthropomorphic animals.,3,59784,5
Animated films featuring anthropomorphic animals.,3,198417,2
Animated films featuring anthropomorphic animals.,3,227705,2
Animated films featuring anthropomorphic animals.,3,5538,5
Animated films featuring anthropomorphic animals.,3,269596,5
Animated films featuring anthropomorphic animals.,3,91126,1
Animated films featuring anthropomorphic animals.,3,180111,1
Animated films featuring anthropomorphic animals.,3,133123,1
Animated films featuring anthropomorphic animals.,3,2355,5
Animated films featuring anthropomorphic animals.,3,616,5
Animated films featuring anthropomorphic animals.,3,364,5
Animated films featuring anthropomorphic animals.,3,117887,5
Animated films featuring anthropomorphic animals.,3,124356,4
Animated films featuring anthropomorphic animals.,3,260307,2
Animated films featuring anthropomorphic animals.,3,95543,4
Animated films featuring anthropomorphic animals.,3,8444,3
Animated films featuring anthropomorphic animals.,3,267408,1
Animated films featuring anthropomorphic animals.,3,2078,5
Animated films featuring anthropomorphic animals.,3,95105,5
Animated films featuring anthropomorphic animals.,3,5765,5
Animated films featuring anthropomorphic animals.,3,204614,3
Animated films featuring anthropomorphic animals.,3,2138,5
Animated films featuring anthropomorphic animals.,3,3775,3
Animated films featuring anthropomorphic animals.,3,247026,1
Animated films featuring anthropomorphic animals.,3,175835,1
Animated films featuring anthropomorphic animals.,3,49817,1
Animated films featuring anthropomorphic animals.,3,129921,2
Animated films featuring anthropomorphic animals.,3,265142,5
Animated films featuring anthropomorphic animals.,3,33463,5
Animated films featuring anthropomorphic animals.,3,281096,5
Animated films featuring anthropomorphic animals.,3,135436,5
Animated films featuring anthropomorphic animals.,3,32153,5
Animated films featuring anthropomorphic animals.,3,3287,5
Animated films featuring anthropomorphic animals.,3,231409,5
Animated films featuring anthropomorphic animals.,3,148624,5
Animated films featuring anthropomorphic animals.,3,6251,5
Animated films featuring anthropomorphic animals.,3,631,5
Animated films featuring anthropomorphic animals.,3,249536,5
Animated films featuring anthropomorphic animals.,3,50872,5
Animated films featuring anthropomorphic animals.,3,31193,5
Fantasy movies with magical creatures.,4,135143,5
Fantasy movies with magical creatures.,4,2093,5
Fantasy movies with magical creatures.,4,2065,3
Fantasy movies with magical creatures.,4,135426,5
Fantasy movies with magical creatures.,4,243372,4
Fantasy movies with magical creatures.,4,142450,5
Fantasy movies with magical creatures.,4,277282,1
Fantasy movies with magical creatures.,4,266318,4
Fantasy movies with magical creatures.,4,235361,4
Fantasy movies with magical creatures.,4,271971,5
Fantasy movies with magical creatures.,4,148789,4
Fantasy movies with magical creatures.,4,133135,3
Fantasy movies with magical creatures.,4,182823,4
Fantasy movies with magical creatures.,4,174199,2
Fantasy movies with magical creatures.,4,237215,3
Fantasy movies with magical creatures.,4,192997,2
Fantasy movies with magical creatures.,4,153748,3
Fantasy movies with magical creatures.,4,174657,1
Fantasy movies with magical creatures.,4,6916,4
Fantasy movies with magical creatures.,4,126,4
Fantasy movies with magical creatures.,4,271232,5
Fantasy movies with magical creatures.,4,130087,3
Fantasy movies with magical creatures.,4,267320,3
Fantasy movies with magical creatures.,4,86882,2
Fantasy movies with magical creatures.,4,166918,3
Fantasy movies with magical creatures.,4,101529,3
Fantasy movies with magical creatures.,4,188279,2
Fantasy movies with magical creatures.,4,239004,3
Fantasy movies with magical creatures.,4,142452,5
Fantasy movies with magical creatures.,4,179725,4
Fantasy movies with magical creatures.,4,247838,2
Fantasy movies with magical creatures.,4,179163,3
Fantasy movies with magical creatures.,4,58105,4
Fantasy movies with magical creatures.,4,121237,4
Fantasy movies with magical creatures.,4,142861,2
Fantasy movies with magical creatures.,4,140769,5
Fantasy movies with magical creatures.,4,229449,4
Fantasy movies with magical creatures.,4,287821,3
Fantasy movies with magical creatures.,4,285669,1
Fantasy movies with magical creatures.,4,48394,5
Fantasy movies with magical creatures.,4,199472,3
Fantasy movies with magical creatures.,4,205158,3
Fantasy movies with magical creatures.,4,209227,3
Fantasy movies with magical creatures.,4,257595,4
Fantasy movies with magical creatures.,4,156828,3
Fantasy movies with magical creatures.,4,220038,4
Fantasy movies with magical creatures.,4,280564,1
Fantasy movies with magical creatures.,4,153398,4
Fantasy movies with magical creatures.,4,95558,4
Fantasy movies with magical creatures.,4,203809,2
Fantasy movies with magical creatures.,4,101719,4
Fantasy movies with magical creatures.,4,121382,4
Fantasy movies with magical creatures.,4,190011,4
Fantasy movies with magical creatures.,4,213007,4
Fantasy movies with magical creatures.,4,142843,4
Fantasy movies with magical creatures.,4,109104,4
Fantasy movies with magical creatures.,4,176341,4
Fantasy movies with magical creatures.,4,4275,4
Fantasy movies with magical creatures.,4,234969,4
Fantasy movies with magical creatures.,4,226526,4
War films set during World War II.,5,7980,5
War films set during World War II.,5,3066,5
War films set during World War II.,5,2944,5
War films set during World War II.,5,1272,5
War films set during World War II.,5,64034,4
War films set during World War II.,5,8257,5
War films set during World War II.,5,32941,2
War films set during World War II.,5,4223,5
War films set during World War II.,5,1250,5
War films set during World War II.,5,3555,3
War films set during World War II.,5,152385,5
War films set during World War II.,5,5011,4
War films set during World War II.,5,63853,4
War films set during World War II.,5,7025,3
War films set during World War II.,5,68872,5
War films set during World War II.,5,2028,5
War films set during World War II.,5,115210,4
War films set during World War II.,5,1262,5
War films set during World War II.,5,8675,5
War films set during World War II.,5,65216,5
War films set during World War II.,5,48783,4
War films set during World War II.,5,50068,5
War films set during World War II.,5,3654,5
War films set during World War II.,5,4310,3
War films set during World War II.,5,43376,4
War films set during World War II.,5,3062,5
War films set during World War II.,5,6216,3
War films set during World War II.,5,154624,3
War films set during World War II.,5,5995,5
War films set during World War II.,5,170705,5
War films set during World War II.,5,34536,5
War films set during World War II.,5,5420,3
War films set during World War II.,5,3836,5
War films set during World War II.,5,4916,5
War films set during World War II.,5,31410,5
War films set during World War II.,5,6441,5
War films set during World War II.,5,163645,5
War films set during World War II.,5,6459,5
War films set during World War II.,5,3372,5
War films set during World War II.,5,126430,5
War films set during World War II.,5,8493,5
War films set during World War II.,5,2202,4
War films set during World War II.,5,132342,5
War films set during World War II.,5,42018,2
War films set during World War II.,5,74575,5
War films set during World War II.,5,69324,5
War films set during World War II.,5,164981,4
War films set during World War II.,5,32721,5
War films set during World War II.,5,106990,5
War films set during World War II.,5,52042,5
War films set during World War II.,5,1233,5
War films set during World War II.,5,4826,3
War films set during World War II.,5,70451,5
War films set during World War II.,5,5316,5
War films set during World War II.,5,26137,4
War films set during World War II.,5,49688,4
War films set during World War II.,5,118702,5
War films set during World War II.,5,27816,5
War films set during World War II.,5,4338,5
War films set during World War II.,5,51007,5
Films with memorable car chase sequences.,6,145312,2
Films with memorable car chase sequences.,6,216261,3
Films with memorable car chase sequences.,6,117722,1
Films with memorable car chase sequences.,6,7076,5
Films with memorable car chase sequences.,6,2278,5
Films with memorable car chase sequences.,6,7300,5
Films with memorable car chase sequences.,6,113126,1
Films with memorable car chase sequences.,6,190767,3
Films with memorable car chase sequences.,6,3717,5
Films with memorable car chase sequences.,6,1220,5
Films with memorable car chase sequences.,6,111781,4
Films with memorable car chase sequences.,6,130634,5
Films with memorable car chase sequences.,6,189333,5
Films with memorable car chase sequences.,6,47330,4
Films with memorable car chase sequences.,6,176101,4
Films with memorable car chase sequences.,6,173161,3
Films with memorable car chase sequences.,6,5574,4
Films with memorable car chase sequences.,6,86644,5
Films with memorable car chase sequences.,6,53519,5
Films with memorable car chase sequences.,6,6378,4
Films with memorable car chase sequences.,6,8604,3
Films with memorable car chase sequences.,6,272161,1
Films with memorable car chase sequences.,6,160072,3
Films with memorable car chase sequences.,6,121275,2
Films with memorable car chase sequences.,6,7698,2
Films with memorable car chase sequences.,6,6795,3
Films with memorable car chase sequences.,6,8665,4
Films with memorable car chase sequences.,6,253328,1
Films with memorable car chase sequences.,6,36519,4
Films with memorable car chase sequences.,6,1953,5
Films with memorable car chase sequences.,6,4369,5
Films with memorable car chase sequences.,6,54986,3
Films with memorable car chase sequences.,6,249964,5
Films with memorable car chase sequences.,6,96367,4
Films with memorable car chase sequences.,6,3703,5
Films with memorable car chase sequences.,6,97697,3
Films with memorable car chase sequences.,6,6533,2
Films with memorable car chase sequences.,6,155820,3
Films with memorable car chase sequences.,6,160438,4
Films with memorable car chase sequences.,6,8605,3
Films with memorable car chase sequences.,6,5469,2
Films with memorable car chase sequences.,6,110501,2
Films with memorable car chase sequences.,6,3702,5
Films with memorable car chase sequences.,6,237626,2
Films with memorable car chase sequences.,6,26322,4
Films with memorable car chase sequences.,6,31367,3
Films with memorable car chase sequences.,6,1358,1
Films with memorable car chase sequences.,6,99112,3
Films with memorable car chase sequences.,6,420,2
Films with memorable car chase sequences.,6,150344,3
Documentaries exploring environmental issues.,7,189023,3
Documentaries exploring environmental issues.,7,180345,5
Documentaries exploring environmental issues.,7,179945,2
Documentaries exploring environmental issues.,7,139634,5
Documentaries exploring environmental issues.,7,148594,3
Documentaries exploring environmental issues.,7,246814,5
Documentaries exploring environmental issues.,7,186899,3
Documentaries exploring environmental issues.,7,4809,4
Documentaries exploring environmental issues.,7,86279,5
Documentaries exploring environmental issues.,7,71318,4
Documentaries exploring environmental issues.,7,216647,3
Documentaries exploring environmental issues.,7,282435,1
Documentaries exploring environmental issues.,7,72998,4
Documentaries exploring environmental issues.,7,102133,5
Documentaries exploring environmental issues.,7,103296,3
Documentaries exploring environmental issues.,7,5159,3
Documentaries exploring environmental issues.,7,158667,5
Documentaries exploring environmental issues.,7,7725,2
Documentaries exploring environmental issues.,7,93272,5
Documentaries exploring environmental issues.,7,112085,3
Documentaries exploring environmental issues.,7,165527,5
Documentaries exploring environmental issues.,7,190507,4
Documentaries exploring environmental issues.,7,281004,1
Documentaries exploring environmental issues.,7,208108,5
Documentaries exploring environmental issues.,7,3408,4
Documentaries exploring environmental issues.,7,3000,4
Documentaries exploring environmental issues.,7,164089,1
Documentaries exploring environmental issues.,7,83616,2
Documentaries exploring environmental issues.,7,132490,1
Documentaries exploring environmental issues.,7,53993,2
Documentaries exploring environmental issues.,7,238044,4
Documentaries exploring environmental issues.,7,195457,3
Documentaries exploring environmental issues.,7,45928,5
Documentaries exploring environmental issues.,7,189407,2
Documentaries exploring environmental issues.,7,170869,2
Documentaries exploring environmental issues.,7,278858,1
Documentaries exploring environmental issues.,7,7099,4
Documentaries exploring environmental issues.,7,120276,5
Documentaries exploring environmental issues.,7,244368,5
Documentaries exploring environmental issues.,7,65261,4
Documentaries exploring environmental issues.,7,152258,3
Documentaries exploring environmental issues.,7,143363,2
Documentaries exploring environmental issues.,7,143567,2
Documentaries exploring environmental issues.,7,187583,4
Documentaries exploring environmental issues.,7,32582,4
Documentaries exploring environmental issues.,7,219390,3
Documentaries exploring environmental issues.,7,1333,2
Documentaries exploring environmental issues.,7,443,2
Documentaries exploring environmental issues.,7,265940,1
Documentaries exploring environmental issues.,7,165547,4
Documentaries exploring environmental issues.,7,99574,3
Documentaries exploring environmental issues.,7,69529,5
Documentaries exploring environmental issues.,7,279756,3
Documentaries exploring environmental issues.,7,88250,4
Documentaries exploring environmental issues.,7,118202,5
Crime thrillers with suspenseful interrogation scenes.,8,5612,4
Crime thrillers with suspenseful interrogation scenes.,8,5266,3
Crime thrillers with suspenseful interrogation scenes.,8,120873,2
Crime thrillers with suspenseful interrogation scenes.,8,167832,5
Crime thrillers with suspenseful interrogation scenes.,8,3551,5
Crime thrillers with suspenseful interrogation scenes.,8,22,4
Crime thrillers with suspenseful interrogation scenes.,8,204688,4
Crime thrillers with suspenseful interrogation scenes.,8,1982,2
Crime thrillers with suspenseful interrogation scenes.,8,167544,4
Crime thrillers with suspenseful interrogation scenes.,8,212263,1
Crime thrillers with suspenseful interrogation scenes.,8,176349,3
Crime thrillers with suspenseful interrogation scenes.,8,1892,4
Crime thrillers with suspenseful interrogation scenes.,8,169940,2
Crime thrillers with suspenseful interrogation scenes.,8,5748,5
Crime thrillers with suspenseful interrogation scenes.,8,3798,3
Crime thrillers with suspenseful interrogation scenes.,8,209497,2
Crime thrillers with suspenseful interrogation scenes.,8,3499,4
Crime thrillers with suspenseful interrogation scenes.,8,1387,1
Crime thrillers with suspenseful interrogation scenes.,8,1344,5
Crime thrillers with suspenseful interrogation scenes.,8,1219,5
Crime thrillers with suspenseful interrogation scenes.,8,190875,3
Crime thrillers with suspenseful interrogation scenes.,8,6808,4
Crime thrillers with suspenseful interrogation scenes.,8,271194,5
Crime thrillers with suspenseful interrogation scenes.,8,97304,4
Crime thrillers with suspenseful interrogation scenes.,8,7452,3
Crime thrillers with suspenseful interrogation scenes.,8,208703,1
Crime thrillers with suspenseful interrogation scenes.,8,110519,3
Crime thrillers with suspenseful interrogation scenes.,8,143098,4
Crime thrillers with suspenseful interrogation scenes.,8,275245,1
Crime thrillers with suspenseful interrogation scenes.,8,223153,3
Crime thrillers with suspenseful interrogation scenes.,8,59369,4
Crime thrillers with suspenseful interrogation scenes.,8,193950,1
Crime thrillers with suspenseful interrogation scenes.,8,170945,2
Crime thrillers with suspenseful interrogation scenes.,8,124859,4
Crime thrillers with suspenseful interrogation scenes.,8,904,2
Crime thrillers with suspenseful interrogation scenes.,8,213347,1
Crime thrillers with suspenseful interrogation scenes.,8,84395,4
Crime thrillers with suspenseful interrogation scenes.,8,220252,5
Crime thrillers with suspenseful interrogation scenes.,8,122849,4
Crime thrillers with suspenseful interrogation scenes.,8,37727,3
Crime thrillers with suspenseful interrogation scenes.,8,241272,3
Crime thrillers with suspenseful interrogation scenes.,8,148737,2
Crime thrillers with suspenseful interrogation scenes.,8,220540,4
Crime thrillers with suspenseful interrogation scenes.,8,207319,3
Crime thrillers with suspenseful interrogation scenes.,8,126775,4
Crime thrillers with suspenseful interrogation scenes.,8,6026,4
Crime thrillers with suspenseful interrogation scenes.,8,189819,3
Crime thrillers with suspenseful interrogation scenes.,8,220922,3
Crime thrillers with suspenseful interrogation scenes.,8,214038,3
Crime thrillers with suspenseful interrogation scenes.,8,44974,4
Crime thrillers with suspenseful interrogation scenes.,8,79720,4
Crime thrillers with suspenseful interrogation scenes.,8,281262,4
Crime thrillers with suspenseful interrogation scenes.,8,64037,4
Crime thrillers with suspenseful interrogation scenes.,8,72995,4
Crime thrillers with suspenseful interrogation scenes.,8,82123,4
Crime thrillers with suspenseful interrogation scenes.,8,109229,4
Crime thrillers with suspenseful interrogation scenes.,8,2956,4
Crime thrillers with suspenseful interrogation scenes.,8,100442,4
Crime thrillers with suspenseful interrogation scenes.,8,27005,4
Crime thrillers with suspenseful interrogation scenes.,8,61553,4
Crime thrillers with suspenseful interrogation scenes.,8,148550,4
Crime thrillers with suspenseful interrogation scenes.,8,156718,4
Historical dramas with powerful courtroom scenes.,9,165337,4
Historical dramas with powerful courtroom scenes.,9,4322,3
Historical dramas with powerful courtroom scenes.,9,131796,4
Historical dramas with powerful courtroom scenes.,9,1693,5
Historical dramas with powerful courtroom scenes.,9,6777,5
Historical dramas with powerful courtroom scenes.,9,3386,4
Historical dramas with powerful courtroom scenes.,9,259659,5
Historical dramas with powerful courtroom scenes.,9,133349,4
Historical dramas with powerful courtroom scenes.,9,226270,5
Historical dramas with powerful courtroom scenes.,9,475,4
Historical dramas with powerful courtroom scenes.,9,277652,3
Historical dramas with powerful courtroom scenes.,9,197875,2
Historical dramas with powerful courtroom scenes.,9,207632,5
Historical dramas with powerful courtroom scenes.,9,116805,3
Historical dramas with powerful courtroom scenes.,9,195167,4
Historical dramas with powerful courtroom scenes.,9,26370,3
Historical dramas with powerful courtroom scenes.,9,254724,3
Historical dramas with powerful courtroom scenes.,9,170501,3
Historical dramas with powerful courtroom scenes.,9,8337,5
Historical dramas with powerful courtroom scenes.,9,5686,1
Historical dramas with powerful courtroom scenes.,9,286109,1
Historical dramas with powerful courtroom scenes.,9,3469,5
Historical dramas with powerful courtroom scenes.,9,87360,2
Historical dramas with powerful courtroom scenes.,9,70722,2
Historical dramas with powerful courtroom scenes.,9,44815,1
Historical dramas with powerful courtroom scenes.,9,197011,1
Historical dramas with powerful courtroom scenes.,9,5008,5
Historical dramas with powerful courtroom scenes.,9,217655,4
Historical dramas with powerful courtroom scenes.,9,35738,2
Historical dramas with powerful courtroom scenes.,9,52604,3
Historical dramas with powerful courtroom scenes.,9,2268,5
Historical dramas with powerful courtroom scenes.,9,275817,1
Historical dramas with powerful courtroom scenes.,9,194949,2
Historical dramas with powerful courtroom scenes.,9,101850,3
Historical dramas with powerful courtroom scenes.,9,628,4
Historical dramas with powerful courtroom scenes.,9,3801,5
Historical dramas with powerful courtroom scenes.,9,3068,5
Historical dramas with powerful courtroom scenes.,9,273401,1
Historical dramas with powerful courtroom scenes.,9,2302,4
Historical dramas with powerful courtroom scenes.,9,207273,3
Historical dramas with powerful courtroom scenes.,9,6879,4
Historical dramas with powerful courtroom scenes.,9,3811,5
Historical dramas with powerful courtroom scenes.,9,115210,3
Historical dramas with powerful courtroom scenes.,9,80719,1
Historical dramas with powerful courtroom scenes.,9,805,4
Historical dramas with powerful courtroom scenes.,9,4465,4
Historical dramas with powerful courtroom scenes.,9,267602,1
Historical dramas with powerful courtroom scenes.,9,162730,3
Historical dramas with powerful courtroom scenes.,9,3420,5
Historical dramas with powerful courtroom scenes.,9,91248,2
Historical dramas with powerful courtroom scenes.,9,32058,4
Historical dramas with powerful courtroom scenes.,9,1203,4
Historical dramas with powerful courtroom scenes.,9,177243,4
Historical dramas with powerful courtroom scenes.,9,7121,4
Historical dramas with powerful courtroom scenes.,9,180045,4
Historical dramas with powerful courtroom scenes.,9,508,4
Historical dramas with powerful courtroom scenes.,9,8977,4
Historical dramas with powerful courtroom scenes.,9,2433,4
Historical dramas with powerful courtroom scenes.,9,4211,4
Historical dramas with powerful courtroom scenes.,9,280,4
Science fiction movies with futuristic cityscapes.,10,187601,4
Science fiction movies with futuristic cityscapes.,10,114847,3
Science fiction movies with futuristic cityscapes.,10,72998,5
Science fiction movies with futuristic cityscapes.,10,277176,3
Science fiction movies with futuristic cityscapes.,10,122381,3
Science fiction movies with futuristic cityscapes.,10,260,5
Science fiction movies with futuristic cityscapes.,10,183661,4
Science fiction movies with futuristic cityscapes.,10,1214,4
Science fiction movies with futuristic cityscapes.,10,184375,2
Science fiction movies with futuristic cityscapes.,10,216517,2
Science fiction movies with futuristic cityscapes.,10,130490,3
Science fiction movies with futuristic cityscapes.,10,176935,3
Science fiction movies with futuristic cityscapes.,10,58898,2
Science fiction movies with futuristic cityscapes.,10,223922,5
Science fiction movies with futuristic cityscapes.,10,130386,3
Science fiction movies with futuristic cityscapes.,10,189577,3
Science fiction movies with futuristic cityscapes.,10,1653,5
Science fiction movies with futuristic cityscapes.,10,122050,4
Science fiction movies with futuristic cityscapes.,10,103306,4
Science fiction movies with futuristic cityscapes.,10,2528,4
Science fiction movies with futuristic cityscapes.,10,1527,5
Science fiction movies with futuristic cityscapes.,10,206702,2
Science fiction movies with futuristic cityscapes.,10,2660,3
Science fiction movies with futuristic cityscapes.,10,184253,3
Science fiction movies with futuristic cityscapes.,10,2012,2
Science fiction movies with futuristic cityscapes.,10,142356,1
Science fiction movies with futuristic cityscapes.,10,205755,2
Science fiction movies with futuristic cityscapes.,10,27608,3
Science fiction movies with futuristic cityscapes.,10,2010,5
Science fiction movies with futuristic cityscapes.,10,80917,3
Science fiction movies with futuristic cityscapes.,10,2009,4
Science fiction movies with futuristic cityscapes.,10,127096,3
Science fiction movies with futuristic cityscapes.,10,191799,3
Science fiction movies with futuristic cityscapes.,10,3354,3
Science fiction movies with futuristic cityscapes.,10,1909,4
Science fiction movies with futuristic cityscapes.,10,138950,2
Science fiction movies with futuristic cityscapes.,10,125205,2
Science fiction movies with futuristic cityscapes.,10,1253,4
Science fiction movies with futuristic cityscapes.,10,95875,4
Science fiction movies with futuristic cityscapes.,10,171207,3
Science fiction movies with futuristic cityscapes.,10,1301,4
Science fiction movies with futuristic cityscapes.,10,2529,5
Science fiction movies with futuristic cityscapes.,10,133806,2
Science fiction movies with futuristic cityscapes.,10,3156,2
Science fiction movies with futuristic cityscapes.,10,96655,2
Science fiction movies with futuristic cityscapes.,10,127188,3
Science fiction movies with futuristic cityscapes.,10,114935,4
Science fiction movies with futuristic cityscapes.,10,1831,3
Science fiction movies with futuristic cityscapes.,10,148002,2
Science fiction movies with futuristic cityscapes.,10,82461,5
Science fiction movies with futuristic cityscapes.,10,135569,5
Science fiction movies with futuristic cityscapes.,10,270350,5
Science fiction movies with futuristic cityscapes.,10,115713,5
Science fiction movies with futuristic cityscapes.,10,541,5
Psychological thrillers with unexpected and shocking endings.,11,74458,5
Psychological thrillers with unexpected and shocking endings.,11,159425,5
Psychological thrillers with unexpected and shocking endings.,11,2712,4
Psychological thrillers with unexpected and shocking endings.,11,81591,4
Psychological thrillers with unexpected and shocking endings.,11,212461,4
Psychological thrillers with unexpected and shocking endings.,11,90376,4
Psychological thrillers with unexpected and shocking endings.,11,53953,4
Psychological thrillers with unexpected and shocking endings.,11,108729,4
Psychological thrillers with unexpected and shocking endings.,11,202439,4
Psychological thrillers with unexpected and shocking endings.,11,2810,4
Psychological thrillers with unexpected and shocking endings.,11,161966,4
Psychological thrillers with unexpected and shocking endings.,11,180263,4
Psychological thrillers with unexpected and shocking endings.,11,261517,4
Psychological thrillers with unexpected and shocking endings.,11,258451,3
Psychological thrillers with unexpected and shocking endings.,11,4645,3
Psychological thrillers with unexpected and shocking endings.,11,219392,3
Psychological thrillers with unexpected and shocking endings.,11,276285,3
Psychological thrillers with unexpected and shocking endings.,11,206449,3
Psychological thrillers with unexpected and shocking endings.,11,145070,3
Psychological thrillers with unexpected and shocking endings.,11,271509,3
Psychological thrillers with unexpected and shocking endings.,11,6953,3
Psychological thrillers with unexpected and shocking endings.,11,7347,3
Psychological thrillers with unexpected and shocking endings.,11,271160,3
Psychological thrillers with unexpected and shocking endings.,11,257467,3
